ASN,Entity
17683,"CA | WINTECH-COM Wingtechnology Communications, Inc.,JP"
17819,"Equinix Asia Pacific"
17833,"NCOM ltd."
17881,"Inet Hosting Inc."
17918,"INFOPLEX Hosting and Managed Service Provider Asia Pacific"
17920,"Ultra Serve Internet Pty Ltd - Transit AS - Hosting Provider"
17941,"Equinix Japan Enterprise K.K."
17971,"TM-VADS DC Hosting"
17997,"CN | China Enterprise Communications Ltd."
18013,"AU | ASLINE LIMITED"
18025,"PH | ACE-1-WIFI-AS-AP Ace-1 Wifi Network"
18120,"Gemini Software Solutions (P) Ltd. Hosting Services, India"
18207,"YOU Broadband & Cable India Ltd."
18209,"Atria Convergence Technologies pvt ltd"
18229,"CtrlS Datacenters Ltd."
18450,"WEBNX - WebNX, Inc., US"
18501,"Codero"
18530,"Isomedia, Inc."
18570,"EchoStar Broadcasting Corperation"
18586,"US | DIVINEHOST - Divine Hosting Services, US"
18645,"US | Netragy LLC"
18650,"Korax Inc."
18779,"EGIHosting"
18809,"Cable Onda"
18978,"Enzu Inc"
18981,"US | IPSTRADA - Supreme Telecom Systems, Inc., US"
18984,"SERVERCAVE - Janus Host, LLC, US"
19084,"COLOUP - ColoUp, US"
19133,"Bird Hosting Inc."
19148,"Leaseweb USA, Inc."
19234,"Canada Web Hosting"
19237,"Omnis Network, LLC"
19318,"Interserver, Inc"
19324,"Dosarrest Internet Security LTD"
19376,"JUSTNET Ministerie van Justitie, NL"
19422,"Telefonica Moviles del Uruguay SA"
19429,"ETB - Colombia"
19437,"SECURED SERVERS LLC"
19527,"Google LLC"
19529,"3SR LLC"
19531,"NODESDIRECT - Nodes Direct, US"
19551,"Incapsula Inc"
19624,"SERVERROOM - Data Room, Inc, US"
19679,"Dropbox, Inc."
19710,"US | DINO-SOL"
19816,"NCS DataCom, Inc."
19832,"za | Link Data Group"
19842,"Colosseum Online, Inc."
19844,"GORACK - GoRack LLC, US"
19863,"Guyana Telephone & Telegraph Co."
19871,"NETWORK-SOLUTIONS-HOSTING - Network Solutions, LLC, US"
19893,"RagingWire Data Centers, Inc."
19894,"US | Novel, Inc (novelscs.com)"
19969,"JOESDATACENTER - Joe's Datacenter, LLC, US"
19994,"RACKSPACE"
20001,"Charter Communications Inc"
20021,"HostMySite"
20068,"Hawk Host Inc."
20150,"AS20150 - anyNode, US"
20161,"TeraGo Networks Inc."
20248,"Take 2 Hosting, Inc."
20264,"WEBAIR-INTERNET-2 - Webair Internet Development Company Inc."
20278,"Nexeon Technologies, Inc."
20326,"TeraSwitch Networks Inc."
20360,"CA | OppoBox LLC"
20401,"Hostway Corporation"
20448,"VPNtranet, LLC."
20450,"Trojan Hosting, LLC."
20454,"SECURED SERVERS LLC"
20473,"AS-CHOOPA - Choopa, LLC, US"
20495,"wd6.NET B.V"
20546,"SOPRADO GmbH"
20559,"Fundaments B.V."
20598,"CYBERSPACE-AS Autonomous System number for Cyber Space, IL"
20616,"Gazduire Web SRL"
20621,"PlusServer GmbH"
20647,"IPB Internet Provider in Berlin GmbH"
20649,"FS Veri Merkezi Internet Teknolojileri Limited Sirketi"
20692,"NetGate Datacenter ASN"
20714,"UA | Merlin-Telekom LLC"
20730,"GB | BIKS+ Ltd."
20738,"Host Europe GmbH"
20773,"HOSTEUROPE-AS, DE"
20776,"Outremer Telecom SASU"
20836,"CDLAN-AS Milano, IT"
20847,"Previder B.V."
20853,"eTOP sp. z o.o."
20857,"Transip B.V."
20860,"IOMART-AS, GB"
20926,"Oceanet Technology SAS"
20940,"Akamai"
21069,"METANET AG"
21100,"ITLDC-NL, UA"
21155,"Amsterdam, NL"
21159,"NOVOSERVE-GMBH-AS Frankfurt, Germany, NL"
21217,"Safe Host SA"
21260,"The Positive Internet Company Ltd"
21321,"ARETI-AS, GB"
21350,"Interspace Ltd."
21396,"NetConnex Broadband Ltd."
21409,"Ikoula Net SAS"
21499,"Host Europe GmbH"
21501,"GoDaddy"
21554,"Wisconsin CyberLynk Network, Inc."
21584,"US | X2CLOUD-MAIN - X2Cloud, LLC"
21624,"Wisconsin CyberLynk Network, Inc."
21679,"SERVERSIDE-01 - Server Side, Inc., US"
21769,"Colocation America"
21777,"Massive Networks"
21859,"Zenlayer Inc"
21887,"Fiber Logic Inc."
21926,"US | TREASUREISLAND-ASN1 - Treasure Island Colocation, LLC"
21983,"US | AURORNET - Aurora Networking, US"
22119,"US | Junction Methods, LLC"
22152,"OC Hosting, Inc."
22363,"PHMGMT-AS1 - Powerhouse Management, Inc., US"
22418,"Cologuard"
22427,"US | United Colo"
22458,"NetSource Communications, Inc."
22489,"Castle Access Inc"
22552,"ESITED - eSited Solutions, US"
22558,"VPSDATACENTER - VPS Datacenter, LLC, US"
22606,"Salesforce.com, Inc."
22611,"InMotion Hosting, Inc."
22612,"Namecheap"
22628,"US | Alta Tecnologia (ALTEC), S.A."
22652,"Fibrenoire Inc."
22653,"Cyber Wurx LLC"
22676,"US | TELENTIA - Telentia, US"
22720,"Rackspace Hosting"
22724,"PUNTONET S.A."
22769,"DDOSING NETWORK"
22781,"RBLHST - Strong Technology, LLC., US"
22822,"Limelight Networks, Inc."
22878,"ACENET, INC."
22893,"US | CYBERWORLD-INT - Cyber World Internet Services, Inc., US"
22903,"Databank Holdings, Ltd"
22915,"FutureQuest, Inc."
22979,"US | DUPACO-COM-BGP"
23033,"Wowrack.com"
23052,"ihost Solutions, Inc."
23108,"Quantact Hosting Solutions, Inc."
23273,"Santa Barbara Web Hosting, Inc."
23312,"US | NAQUEIT - Naque IT, US"
23338,"DCS Pacific Star, LLC"
23342,"UNITEDLAYER - Unitedlayer, Inc., US"
23352,"Server Central Network"
23450,"US | Triumph Networking LLC"
23470,"ReliableSite.Net LLC"
23535,"HostRocket.com, Inc."
23537,"US | MICROSOURCEASN - Micro Source, Inc."
23576,"NAVER Cloud Corp."
23650,"AS Number for CHINANET jiangsu province backbone"
23661,"CLARA ONLINE, Inc."
23686,"Equinix Asia Pacific"
23816,"Yahoo Japan Corporation"
23824,"Future Spirits Co.,Ltd."
23860,"Alliance Broadband Services Pvt. Ltd."
23881,"UDomain Web Hosting Company Ltd"
23884,"Proen Corp Public Company Limited."
23944,"SKYBroadband SKYCable Corporation"
24000,"24.hk global BGP"
